release_date,budget
11/26/2010,15000000
9/24/2014,55000000
6/8/1984,30000000
5/23/2013,103000000
5/22/1996,80000000
8/16/2018,0
9/20/2012,85000000
5/27/2015,110000000
7/11/2017,150000000
9/4/2019,79000000
2/22/2018,40000000
6/20/2002,102000000
11/1/2013,5000000
5/4/2022,200000000
6/19/2009,200000000
12/4/2019,125000000
4/30/2004,17000000
5/15/2018,250000000
6/23/2015,155000000
5/31/2013,3000000
9/1/2017,10000000
9/17/2015,30000000
12/16/2020,200000000
5/9/2017,97000000
1/16/2019,20000000
11/21/2003,3000000
9/4/2013,12000000
4/11/2019,14000000
6/7/2018,70000000
7/29/2011,50000000
6/8/2016,40000000
11/6/2015,20000000
4/9/2004,6100000
12/23/1966,1200000
10/11/2012,44500000
5/23/1997,73000000
6/28/2011,195000000
6/28/2005,132000000
5/16/1986,15000000
3/30/2011,32000000
7/28/2021,185000000
6/26/2009,90000000
12/29/1995,29000000
4/7/2016,175000000
6/18/2016,75000000
8/11/2021,110000000
4/10/1957,350000
5/21/2008,185000000
6/17/2021,200000000
4/20/2011,125000000
3/29/2017,110000000
6/25/2014,210000000
9/28/2011,110000000
1/15/2020,90000000
5/24/2022,170000000
5/25/2017,69000000
4/1/2005,40000000
8/9/2011,25000000
7/13/2018,178000000
1/17/2018,55000000
5/30/2012,170000000
11/3/2021,200000000
8/15/1979,31500000
2/15/1985,1000000
6/5/2014,50000000
11/23/2016,75000000
3/4/2015,49000000
5/26/2004,125000000
7/25/2007,75000000
11/13/2017,20000000
9/16/2005,28000000
7/21/2011,35000000
3/30/1999,16000000
6/13/2007,130000000
3/10/2016,15000000
3/23/1990,14000000
12/21/2016,125000000
2/25/2015,50100000
7/1/1998,140000000
10/29/2008,200000000
11/17/1989,40000000
3/5/2018,94000000
12/12/2005,207000000
4/12/2012,30000000
3/8/1996,7000000
6/12/1987,15000000
2/8/2017,55000000
2/11/1993,14600000
12/26/1973,12000000
6/17/2004,60000000
2/6/2014,60000000
5/15/2016,50000000
